fecha,origen,edad,motivo,transporte,dias,acompañante,frecuencia,alojamiento
21/7/2025 8:56:40,Salta - Tartagal,50 a 64,Trabajo o negocios,Colectivo de Línea,4 a 7 días,Con familiares,2 o 3 veces al año,Hotel 2*
21/7/2025 9:02:14,Jujuy - Perico,30 a 49,Vacaciones / Descanso,Automóvil,2 a 3 días,Con amigos,Una vez al año,Cabañas
21/7/2025 18:09:53,Bs As Moron,50 a 64,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con familiares,Primera vez,Hotel 3*
21/7/2025 18:17:08,Rafaela Santa Fe,50 a 64,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con amigos,Primera vez,Hotel 3*
21/7/2025 19:11:54,Chacabuco bs as,65 o más,Trabajo o negocios,Automóvil,Más de una semana,Solo/a,2 o 3 veces al año,Hotel 3*
21/7/2025 19:33:05,Bs As capital,30 a 49,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con familiares,Primera vez,Hotel 3*
25/7/2025 19:31:20,Córdoba capital,30 a 49,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con amigos,Una vez al año,Hotel 2*
25/7/2025 19:44:25,Santiago capital ,50 a 64,Vacaciones / Descanso,Automóvil,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 2*
23/8/2025 10:31:46,Leones cordoba,50 a 64,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con familiares,Una vez al año,Hotel 2*
23/8/2025 11:18:27,Posadas misiones ,50 a 64,Turismo termal / Bienestar,Colectivo de Línea,4 a 7 días,Con amigos,Primera vez,Hotel 2*
30/5/2025 9:36:52,Salta /Tartagal,50 a 64,Eventos deportivos o actividades culturales,Automóvil,2 a 3 días,Con amigos,Una vez al año,Hotel 2*
4/6/2025 0:26:25,Santiago,30 a 49,Vacaciones / Descanso,Automóvil,1 día (excursión),Con familiares,Mas de 3 veces ,Hotel 4*
22/6/2025 21:47:12,Buenos Aires ,30 a 49,Trabajo o negocios,Automóvil,Más de una semana,Con familiares,2 o 3 veces al año,Cabañas
18/7/2025 12:36:44,San Juan ,30 a 49,Trabajo o negocios,Colectivo de Tours,4 a 7 días,Turistas,Primera vez,Hotel 2*
19/7/2025 18:10:43,"Córdoba, Córdoba ",18 a 29,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con familiares,Mas de 3 veces ,Hotel 4*
8/11/2025 9:38:31,San Miguel/Tucumán ,30 a 49,Turismo termal / Bienestar,Automóvil,1 día (excursión),Con familiares,2 o 3 veces al año,Hotel 3*
8/11/2025 9:41:06,Concepción/Tucumán ,18 a 29,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con amigos,4 o más veces,Hotel 2*
8/11/2025 9:48:38,Yerba Buena/Tucumán ,50 a 64,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con familiares,4 o más veces,Hotel 3*
8/11/2025 9:51:42,Rosario/Santa Fe,50 a 64,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con familiares,Una vez al año,Hotel 2*
8/11/2025 9:54:17,Capital/San Luis,65 o más,Turismo termal / Bienestar,Colectivo de Línea,2 a 3 días,Con amigos,Una vez al año,Hotel 2*
8/11/2025 9:58:19,San Miguel/Tucumán ,65 o más,Eventos deportivos o actividades culturales,Automóvil,2 a 3 días,Con familiares,4 o más veces,Hotel 2*
8/11/2025 10:19:51,Metán/Salta,50 a 64,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con amigos,2 o 3 veces al año,Hotel 2*
8/11/2025 10:22:05,San Pedro/Jujuy,65 o más,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con amigos,Una vez al año,Apart Hotel
8/11/2025 10:25:34,San Fernando/Catamarca,30 a 49,Eventos deportivos o actividades culturales,Automóvil,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 3*
8/11/2025 10:28:33,Posadas/Misiones ,18 a 29,Eventos deportivos o actividades culturales,Colectivo de Línea,2 a 3 días,Con amigos,Una vez al año,Apart Hotel
8/11/2025 10:30:47,Maipú/Mendoza ,30 a 49,Turismo termal / Bienestar,Colectivo de Tours,4 a 7 días,Con amigos,Una vez al año,Hotel 1*
8/11/2025 10:38:40,Santa Rosa/La Pampa ,18 a 29,Eventos deportivos o actividades culturales,Colectivo de Línea,2 a 3 días,Con familiares,Primera vez,Hotel 4*
