fecha,edad,CityAcc,CityCyV,CityPyP,CityEP,CityMus,CityPilP,CityPoli,CityCCul
21/7/2025 8:56:40,50 a 64,Muy Bueno,Bueno,Muy Bueno,Bueno,Excelente,Bueno,Muy Bueno,Bueno
21/7/2025 9:02:14,30 a 49,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno
21/7/2025 18:09:53,50 a 64,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
21/7/2025 18:17:08,50 a 64,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno
21/7/2025 19:11:54,65 o más,Malo,Bueno,Bueno,Bueno,Regular,Regular,Regular,Regular
21/7/2025 19:33:05,30 a 49,Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno
25/7/2025 19:31:20,30 a 49,Muy Bueno,Regular,Bueno,Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno
25/7/2025 19:44:25,50 a 64,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
23/8/2025 10:31:46,50 a 64,Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Bueno,Bueno
23/8/2025 11:18:27,50 a 64,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente
30/5/2025 9:36:52,50 a 64,Muy Bueno,Regular,Bueno,Regular,Regular,Bueno,Regular,Bueno
4/6/2025 0:26:25,30 a 49,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente
22/6/2025 21:47:12,30 a 49,Muy Bueno,Muy Bueno,Bueno,Bueno,Regular,Bueno,Bueno,Muy Bueno
18/7/2025 12:36:44,30 a 49,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente
19/7/2025 18:10:43,18 a 29,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente
8/11/2025 9:38:31,30 a 49,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente
8/11/2025 9:41:06,18 a 29,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente
8/11/2025 9:48:38,50 a 64,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno
8/11/2025 9:51:42,50 a 64,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente
8/11/2025 9:54:17,65 o más,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
8/11/2025 9:58:19,65 o más,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente
8/11/2025 10:19:51,50 a 64,Bueno,Bueno,Bueno,Excelente,Excelente,Excelente,Bueno,Bueno
8/11/2025 10:22:05,65 o más,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente
8/11/2025 10:25:34,30 a 49,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
8/11/2025 10:28:33,18 a 29,Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno
8/11/2025 10:30:47,30 a 49,Excelente,Excelente,Excelente,Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno
8/11/2025 10:38:40,18 a 29,Excelente,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno
