fecha,edad,GLimp,GAtencion,GAloj,GGastro,GEntre,GEspArt,GEspDepor
21/7/2025 8:56:40,50 a 64,Muy Buena,Excelente,Buena,Muy Buena,Buena,Excelente,Muy Buena
21/7/2025 9:02:14,30 a 49,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena
21/7/2025 18:09:53,50 a 64,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena
21/7/2025 18:17:08,50 a 64,Buena,Muy Buena,Buena,Muy Buena,Buena,Buena,Buena
21/7/2025 19:11:54,65 o más,Malo,Muy Buena,Muy Buena,Muy Buena,Malo,Malo,Regular
21/7/2025 19:33:05,30 a 49,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena
25/7/2025 19:31:20,30 a 49,Buena,Muy Buena,Muy Buena,Excelente,Muy Buena,Buena,Buena
25/7/2025 19:44:25,50 a 64,Muy Buena,Muy Buena,Muy Buena,Excelente,Muy Buena,Muy Buena,Muy Buena
23/8/2025 10:31:46,50 a 64,Muy Buena,Muy Buena,Muy Buena,Buena,Muy Buena,Buena,Muy Buena
23/8/2025 11:18:27,50 a 64,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Buena,Buena,Buena
30/5/2025 9:36:52,50 a 64,Buena,Buena,Buena,Muy Buena,Regular,Regular,Buena
4/6/2025 0:26:25,30 a 49,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente
22/6/2025 21:47:12,30 a 49,Buena,Buena,Muy Buena,Muy Buena,Regular,Regular,Regular
18/7/2025 12:36:44,30 a 49,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente
19/7/2025 18:10:43,18 a 29,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente
8/11/2025 9:38:31,30 a 49,Excelente,Muy Buena,Muy Buena,Muy Buena,Excelente,Muy Buena,Buena
8/11/2025 9:41:06,18 a 29,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Excelente,Muy Buena,Excelente
8/11/2025 9:48:38,50 a 64,Excelente,Excelente,Muy Buena,Muy Buena,Excelente,Excelente,Muy Buena
8/11/2025 9:51:42,50 a 64,Regular,Muy Buena,Muy Buena,Excelente,Muy Buena,Buena,Muy Buena
8/11/2025 9:54:17,65 o más,Excelente,Muy Buena,Buena,Muy Buena,Excelente,Muy Buena,Muy Buena
8/11/2025 9:58:19,65 o más,Excelente,Excelente,Muy Buena,Muy Buena,Excelente,Excelente,Muy Buena
8/11/2025 10:19:51,50 a 64,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena
8/11/2025 10:22:05,65 o más,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena,Muy Buena
8/11/2025 10:25:34,30 a 49,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente
8/11/2025 10:28:33,18 a 29,Muy Buena,Muy Buena,Excelente,Excelente,Excelente,Muy Buena,Muy Buena
8/11/2025 10:30:47,30 a 49,Excelente,Muy Buena,Buena,Muy Buena,Excelente,Excelente,Excelente
8/11/2025 10:38:40,18 a 29,Muy Buena,Muy Buena,Excelente,Muy Buena,Buena,Muy Buena,Excelente
