fecha,edad,CityAcc,CityCyV,CityPyP,CityEP,CityMus,CityPilP,CityPoli,CityCCul
11/06/2025 13:19:29,50 a 64,Bueno,Excelente,Excelente,Excelente,Muy Bueno,Bueno,Bueno,Excelente
04/10/2025 10:15:09,65 o más,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Excelente,Excelente,Bueno
05/06/2025 10:27:11,50 a 64,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Excelente
12/06/2025 09:01:17,30 a 49,Muy Bueno,Excelente,Muy Bueno,Excelente,Regular,Muy Bueno,Regular,Muy Bueno
07/10/2025 00:10:51,50 a 64,Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente,Bueno,Muy Bueno
05/08/2025 14:38:19,30 a 49,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente,Regular,Bueno
28/10/2025 22:32:30,65 o más,Muy Bueno,Excelente,Excelente,Bueno,Excelente,Muy Bueno,Excelente,Bueno
13/09/2025 23:55:51,50 a 64,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente
14/08/2025 05:17:02,30 a 49,Excelente,Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente
26/10/2025 10:00:34,50 a 64,Excelente,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Excelente
24/08/2025 22:43:29,50 a 64,Excelente,Regular,Excelente,Muy Bueno,Excelente,Bueno,Muy Bueno,Bueno
10/07/2025 14:22:22,50 a 64,Muy Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Excelente,Bueno,Regular
06/09/2025 10:17:27,18 a 29,Muy Bueno,Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno
05/08/2025 12:38:17,65 o más,Muy Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno
08/06/2025 16:08:48,30 a 49,Excelente,Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno
07/06/2025 08:31:38,50 a 64,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Regular
07/06/2025 22:41:19,50 a 64,Muy Bueno,Bueno,Bueno,Bueno,Regular,Excelente,Muy Bueno,Excelente
