fecha,alojamiento,HPAs,HLimp,HWifi,HGastro,HEntret,HSeguridad,HPyS,H$
13/08/2025 00:33:08,Hotel 2*,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
24/07/2025 23:35:02,Hotel 3*,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Muy Bueno,Bueno
17/07/2025 06:13:35,Hotel 1*,Excelente,Excelente,Excelente,Excelente,Bueno,Muy Bueno,Excelente,Muy Bueno
15/06/2025 13:58:39,Hotel 3*,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Bueno
31/08/2025 09:17:21,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno
17/06/2025 10:37:38,Hotel 4*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
26/09/2025 00:26:08,Hotel 3*,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Excelente,Bueno
07/11/2025 21:12:44,Hotel 3*,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno
01/09/2025 16:31:33,Hotel 2*,Excelente,Bueno,Muy Bueno,Bueno,Bueno,Excelente,Muy Bueno,Excelente
14/07/2025 09:45:22,Hotel 3*,Excelente,Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Excelente,Bueno
17/09/2025 18:17:38,Hotel 4*,Excelente,Excelente,Regular,Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno
02/06/2025 21:00:28,Hotel 4*,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno,Bueno,Excelente
29/07/2025 13:19:11,Hotel 3*,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Excelente
12/10/2025 08:53:28,Hotel 4*,Bueno,Muy Bueno,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Excelente
23/09/2025 17:38:06,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno
30/06/2025 12:44:37,Hotel 2*,Muy Bueno,Excelente,Excelente,Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente
07/06/2025 17:32:38,Hotel 2*,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno
11/10/2025 04:22:09,Hotel 3*,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Bueno
23/10/2025 03:59:38,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente,Bueno
16/07/2025 17:46:22,Hotel 2*,Bueno,Muy Bueno,Muy Bueno,Bueno,Bueno,Excelente,Muy Bueno,Bueno
28/09/2025 21:48:34,Hotel 4*,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno
23/10/2025 21:50:20,Cabañas,Bueno,Bueno,Muy Bueno,Bueno,Bueno,Bueno,Bueno,Muy Bueno
10/07/2025 20:37:52,Hotel 2*,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente
11/07/2025 14:33:30,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente,Excelente
15/08/2025 19:30:52,Apart Hotel,Excelente,Excelente,Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Bueno
01/08/2025 00:32:20,Hotel 2*,Excelente,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente,Excelente,Excelente
04/06/2025 04:38:45,Cabañas,Bueno,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente
15/06/2025 11:35:32,Hotel 3*,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
13/09/2025 22:38:19,Hotel 1*,Bueno,Muy Bueno,Excelente,Excelente,Bueno,Muy Bueno,Bueno,Excelente
03/11/2025 13:57:50,Hotel 1*,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno
09/07/2025 04:05:13,Hotel 1*,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno
14/08/2025 15:30:25,Cabañas,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Excelente
16/08/2025 05:51:07,Hotel 2*,Excelente,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno
31/10/2025 20:09:17,Hotel 3*,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Bueno
11/07/2025 02:18:58,Hotel 3*,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno
22/07/2025 12:14:47,Hotel 2*,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
09/08/2025 03:11:47,Hotel 1*,Muy Bueno,Muy Bueno,Excelente,Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno
28/10/2025 03:01:58,Hotel 2*,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
02/08/2025 13:30:42,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
02/06/2025 15:39:11,Cabañas,Bueno,Bueno,Regular,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno
10/09/2025 14:32:39,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno
