fecha,origen,edad,motivo,transporte,dias,acompañante,frecuencia,alojamiento
2025-06-04 13:57:01,Metán/Salta,50 a 64,Eventos deportivos o actividades culturales,Colectivo de Línea,1 día (excursión),Con familiares,Primera vez,Hotel 2*
2025-09-08 07:43:01,Concepción/Tucumán ,50 a 64,Turismo termal / Bienestar,Colectivo de Línea,2 a 3 días,Con amigos,2 o 3 veces al año,Hotel 3*
2025-10-02 11:00:27,Capital/San Luis,30 a 49,Vacaciones / Descanso,Colectivo de Línea,1 día (excursión),Con familiares,4 o más veces,Hotel 2*
2025-10-30 18:02:50,Chacabuco bs as,50 a 64,Eventos deportivos o actividades culturales,Colectivo de Línea,2 a 3 días,Con amigos,Una vez al año,Hotel 2*
2025-07-22 01:55:17,Santiago,30 a 49,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con amigos,Una vez al año,Hotel 2*
2025-07-24 17:34:02,San Pedro/Jujuy,30 a 49,Turismo termal / Bienestar,Colectivo de Línea,2 a 3 días,Con familiares,Primera vez,Hotel 2*
2025-10-05 15:53:40,San Fernando/Catamarca,50 a 64,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con amigos,Una vez al año,Hotel 3*
2025-07-10 14:42:53,Leones cordoba,50 a 64,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con amigos,2 o 3 veces al año,Hotel 2*
2025-07-30 23:00:35,Chacabuco bs as,18 a 29,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-09-14 03:37:24,San Fernando/Catamarca,30 a 49,Vacaciones / Descanso,Colectivo de Tours,2 a 3 días,Turistas,Una vez al año,Apart Hotel
2025-06-26 02:00:02,Yerba Buena/Tucumán ,65 o más,Turismo termal / Bienestar,Colectivo de Tours,2 a 3 días,Con familiares,Una vez al año,Hotel 2*
2025-11-05 20:38:36,Concepción/Tucumán ,30 a 49,Eventos deportivos o actividades culturales,Colectivo de Línea,2 a 3 días,Con amigos,2 o 3 veces al año,Hotel 2*
2025-07-16 22:22:52,Rosario/Santa Fe,50 a 64,Eventos deportivos o actividades culturales,Colectivo de Tours,4 a 7 días,Con familiares,2 o 3 veces al año,Hotel 3*
2025-09-17 01:25:07,Rafaela Santa Fe,18 a 29,Eventos deportivos o actividades culturales,Automóvil,2 a 3 días,Con familiares,Primera vez,Hotel 2*
2025-10-22 04:17:44,Córdoba capital,18 a 29,Vacaciones / Descanso,Colectivo de Línea,4 a 7 días,Con familiares,4 o más veces,Hotel 2*
2025-10-25 16:59:45,Rafaela Santa Fe,30 a 49,Vacaciones / Descanso,Colectivo de Tours,2 a 3 días,Solo/a,Una vez al año,Hotel 2*
2025-06-01 08:19:51,Rafaela Santa Fe,30 a 49,Turismo termal / Bienestar,Automóvil,Más de una semana,Con familiares,Primera vez,Hotel 2*
2025-10-23 21:32:09,Posadas misiones ,18 a 29,Eventos deportivos o actividades culturales,Colectivo de Línea,2 a 3 días,Con amigos,2 o 3 veces al año,Hotel 2*
2025-09-05 18:49:42,Santa Rosa/La Pampa ,65 o más,Vacaciones / Descanso,Colectivo de Tours,1 día (excursión),Solo/a,Una vez al año,Hotel 2*
2025-09-25 23:41:19,Bs As capital,50 a 64,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-06-17 11:02:59,"Córdoba, Córdoba ",50 a 64,Vacaciones / Descanso,Colectivo de Línea,Más de una semana,Con familiares,Una vez al año,Hotel 4*
2025-11-03 15:42:33,Bs As capital,30 a 49,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Con familiares,Una vez al año,Hotel 3*
2025-10-08 08:53:53,San Fernando/Catamarca,65 o más,Trabajo o negocios,Automóvil,1 día (excursión),Con amigos,Mas de 3 veces ,Hotel 4*
2025-10-02 01:32:43,Posadas misiones ,50 a 64,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con familiares,Primera vez,Hotel 2*
2025-08-11 10:30:24,Posadas misiones ,30 a 49,Turismo termal / Bienestar,Automóvil,2 a 3 días,Con amigos,Una vez al año,Hotel 4*
2025-08-27 10:59:03,San Miguel/Tucumán ,50 a 64,Eventos deportivos o actividades culturales,Colectivo de Línea,2 a 3 días,Con amigos,4 o más veces,Hotel 2*
2025-07-21 23:04:46,Bs As capital,50 a 64,Vacaciones / Descanso,Colectivo de Línea,Más de una semana,Turistas,Una vez al año,Hotel 3*
2025-09-13 16:01:33,Córdoba capital,50 a 64,Trabajo o negocios,Colectivo de Línea,4 a 7 días,Con familiares,2 o 3 veces al año,Apart Hotel
2025-06-15 01:38:10,Leones cordoba,50 a 64,Eventos deportivos o actividades culturales,Colectivo de Tours,2 a 3 días,Con amigos,2 o 3 veces al año,Hotel 2*
2025-08-02 21:36:23,San Juan ,30 a 49,Vacaciones / Descanso,Automóvil,2 a 3 días,Con amigos,Una vez al año,Hotel 3*
2025-10-30 08:04:49,San Juan ,18 a 29,Vacaciones / Descanso,Automóvil,4 a 7 días,Con amigos,Mas de 3 veces ,Hotel 3*
2025-08-14 01:29:21,Salta /Tartagal,50 a 64,Turismo termal / Bienestar,Colectivo de Línea,2 a 3 días,Con amigos,4 o más veces,Hotel 2*
2025-06-11 00:29:13,Leones cordoba,30 a 49,Vacaciones / Descanso,Automóvil,1 día (excursión),Con familiares,2 o 3 veces al año,Hotel 2*
2025-10-06 13:48:19,Leones cordoba,50 a 64,Vacaciones / Descanso,Colectivo de Tours,1 día (excursión),Con familiares,Primera vez,Hotel 2*
2025-08-13 11:03:50,"Córdoba, Córdoba ",50 a 64,Turismo termal / Bienestar,Colectivo de Tours,4 a 7 días,Con amigos,Una vez al año,Hotel 1*
2025-06-21 14:05:38,Metán/Salta,50 a 64,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con amigos,Mas de 3 veces ,Hotel 2*
2025-07-09 10:50:00,San Fernando/Catamarca,30 a 49,Turismo termal / Bienestar,Colectivo de Tours,4 a 7 días,Con familiares,Primera vez,Hotel 3*
2025-10-31 01:28:12,Santiago,30 a 49,Vacaciones / Descanso,Colectivo de Línea,4 a 7 días,Solo/a,2 o 3 veces al año,Hotel 2*
2025-08-25 10:37:10,San Pedro/Jujuy,50 a 64,Vacaciones / Descanso,Colectivo de Línea,4 a 7 días,Con amigos,4 o más veces,Hotel 3*
2025-09-20 21:55:57,San Miguel/Tucumán ,50 a 64,Vacaciones / Descanso,Colectivo de Línea,Más de una semana,Con familiares,Una vez al año,Hotel 3*
2025-08-07 10:16:12,Rafaela Santa Fe,65 o más,Eventos deportivos o actividades culturales,Colectivo de Tours,1 día (excursión),Con amigos,2 o 3 veces al año,Hotel 3*
2025-08-20 02:45:22,Metán/Salta,50 a 64,Trabajo o negocios,Colectivo de Línea,2 a 3 días,Con familiares,Una vez al año,Hotel 2*
2025-06-30 21:16:12,Leones cordoba,30 a 49,Vacaciones / Descanso,Automóvil,2 a 3 días,Solo/a,Una vez al año,Hotel 2*
2025-07-11 16:53:52,Santa Rosa/La Pampa ,50 a 64,Eventos deportivos o actividades culturales,Automóvil,2 a 3 días,Con amigos,2 o 3 veces al año,Hotel 2*
2025-08-15 09:13:37,Rosario/Santa Fe,50 a 64,Turismo termal / Bienestar,Automóvil,Más de una semana,Con amigos,2 o 3 veces al año,Hotel 2*
2025-07-29 13:28:37,Leones cordoba,50 a 64,Vacaciones / Descanso,Colectivo de Línea,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 2*
2025-06-29 23:39:18,Bs As capital,18 a 29,Vacaciones / Descanso,Automóvil,4 a 7 días,Con familiares,Una vez al año,Hotel 2*
2025-09-04 11:11:21,Santiago capital ,18 a 29,Eventos deportivos o actividades culturales,Automóvil,2 a 3 días,Con familiares,2 o 3 veces al año,Hotel 4*
2025-10-22 21:09:27,Chacabuco bs as,30 a 49,Vacaciones / Descanso,Automóvil,4 a 7 días,Con familiares,Primera vez,Hotel 1*
2025-10-06 11:52:21,Maipú/Mendoza ,50 a 64,Vacaciones / Descanso,Colectivo de Tours,4 a 7 días,Turistas,Primera vez,Hotel 3*
2025-06-17 06:44:40,Concepción/Tucumán ,50 a 64,Vacaciones / Descanso,Automóvil,2 a 3 días,Con familiares,4 o más veces,Hotel 2*
2025-05-31 04:31:04,Posadas misiones ,30 a 49,Turismo termal / Bienestar,Colectivo de Tours,2 a 3 días,Con familiares,4 o más veces,Hotel 4*
2025-10-29 05:47:00,Santiago capital ,18 a 29,Turismo termal / Bienestar,Colectivo de Línea,2 a 3 días,Con amigos,Primera vez,Hotel 3*
2025-09-09 12:13:57,San Juan ,30 a 49,Vacaciones / Descanso,Automóvil,Más de una semana,Con familiares,4 o más veces,Hotel 2*
2025-08-19 19:43:27,San Juan ,50 a 64,Vacaciones / Descanso,Colectivo de Línea,1 día (excursión),Solo/a,2 o 3 veces al año,Hotel 2*
2025-06-23 15:17:46,Bs As capital,18 a 29,Vacaciones / Descanso,Colectivo de Línea,4 a 7 días,Con amigos,Primera vez,Hotel 3*
